K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + (18*a + 9)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + (18*a + 9)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + (18*a + 9)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^5 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 18*a*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 18)*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 18)*x^7 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (18*a + 9)*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*x^7 + 18*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + 9*a*x^7 + 18*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w^3*p^20+...; I=[ 12, 3, 0 ]; R=[ <1, 12>, <3, 3>, <9, 0> ]; A=<w^7*t + w^3, t^3 + w^7>; f=x^9 + (9*a + 9)*x^7 + 18*x^5 + (18*a + 18)*x^4 + (6*a + 3)*x^3 + 3; Aut=1T1; Gal=0T0
